city,timestamp,temperature,season
New York,2010-01-01,4.570286523216154,winter
New York,2010-01-02,-3.9351363827818546,winter
New York,2010-01-03,-0.9423229608844754,winter
New York,2010-01-04,-8.912988172963928,winter
New York,2010-01-05,2.1642671329866836,winter
New York,2010-01-06,-3.1768403962200296,winter
New York,2010-01-07,-2.6460478727366734,winter
New York,2010-01-08,1.7556810623138355,winter
New York,2010-01-09,8.472886164813623,winter
New York,2010-01-10,-2.0614982699967896,winter
New York,2010-01-11,-1.1187124069911956,winter
New York,2010-01-12,0.309423639891186,winter
New York,2010-01-13,0.06096625497324492,winter
New York,2010-01-14,-0.14316799814373324,winter
New York,2010-01-15,4.660499495451341,winter
New York,2010-01-16,-6.940801328979115,winter
New York,2010-01-17,-0.30987197603864414,winter
New York,2010-01-18,2.183230942683102,winter
New York,2010-01-19,0.3804282088164906,winter
New York,2010-01-20,0.49152061881724407,winter
New York,2010-01-21,2.8976084341658286,winter
New York,2010-01-22,1.587035452003843,winter
New York,2010-01-23,0.2845609045435806,winter
New York,2010-01-24,7.8699171921333635,winter
New York,2010-01-25,9.06638103857928,winter
New York,2010-01-26,-8.992593884240478,winter
New York,2010-01-27,-2.02344945515818,winter
New York,2010-01-28,-1.4341703004550035,winter
New York,2010-01-29,-2.1582305650335623,winter
New York,2010-01-30,-3.8149026155701966,winter
New York,2010-01-31,-1.360853570232614,winter
New York,2010-02-01,7.105552202265947,winter
New York,2010-02-02,0.5347779814474211,winter
New York,2010-02-03,3.2128199578295407,winter
New York,2010-02-04,2.607351908734999,winter
New York,2010-02-05,-1.6188955113221106,winter
New York,2010-02-06,-0.8912722152178963,winter
New York,2010-02-07,13.009285415521706,winter
New York,2010-02-08,0.7179922398296799,winter
New York,2010-02-09,2.897644792803721,winter
New York,2010-02-10,6.766020114242596,winter
New York,2010-02-11,-9.156987378846347,winter
New York,2010-02-12,1.116106748238689,winter
New York,2010-02-13,-2.4102187857371264,winter
New York,2010-02-14,1.7176998105472197,winter
New York,2010-02-15,-2.850255826489116,winter
New York,2010-02-16,-0.07231277653692922,winter
New York,2010-02-17,2.1808596008368837,winter
New York,2010-02-18,0.8880349063881696,winter
New York,2010-02-19,-12.031600656307496,winter
